r	c	color	word
1	1	1	감미롭다, 소름끼친다, 뿌듯하다, 괘씸하다
1	2	2	다정하다
1	3	101	없음
1	4	101	없음
1	5	5	쾌활하다
1	6	101	없음
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	측은하다, 감사함을느낀다
2	1	101	없음
2	2	12	비참하다
2	3	101	없음
2	4	14	긴장하다
2	5	15	훈훈하다
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	처량하다
2	10	20	죽겠다
3	1	101	없음
3	2	22	정신이번쩍든다
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	27	가슴이찢어진다
3	8	101	없음
3	9	29	우울하다
3	10	30	불만이다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	101	없음
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	39	쓰리다
4	10	101	없음
5	1	41	짜증난다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	45	아련하다
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	우울하다, 쾌활하다, 두렵다, 침통하다
6	2	101	없음
6	3	53	시원하다
6	4	54	처량하다, 자유스럽다
6	5	55	침통하다, 가슴이저리다
6	6	101	없음
6	7	101	없음
6	8	101	없음
6	9	59	그립다
6	10	60	안전하다
7	1	61	마음이무겁다, 밉다, 떫다
7	2	101	없음
7	3	101	없음
7	4	101	없음
7	5	101	없음
7	6	101	없음
7	7	101	없음
7	8	101	없음
7	9	101	없음
7	10	70	안심된다
8	1	71	비참하다, 멍해진다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	77	혼란스럽다
8	8	101	없음
8	9	79	불쌍하다
8	10	101	없음
9	1	81	막막하다
9	2	101	없음
9	3	83	막막하다
9	4	84	반감이든다
9	5	85	아련하다
9	6	86	아리다, 씩씩하다
9	7	87	측은하다
9	8	101	없음
9	9	101	없음
9	10	90	뒤가켕기다, 기분이묘하다
10	1	91	비참하다, 캄캄하다, 죄스럽다, 울적하다
10	2	92	싫다
10	3	101	없음
10	4	101	없음
10	5	95	압박감이들다, 부담스럽다, 가슴이저리다
10	6	96	처참하다
10	7	97	아련하다
10	8	101	없음
10	9	101	없음
10	10	100	착잡하다, 쓸쓸하다
