r	c	color	word
1	1	1	따뜻하다, 자신있다
1	2	2	사랑스럽다
1	3	101	없음
1	4	4	감미롭다
1	5	5	쾌활하다
1	6	6	싫다, 자신있다
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	멋있다, 뛸듯하다, 뛸듯하다
2	1	101	없음
2	2	12	밉다
2	3	101	없음
2	4	101	없음
2	5	101	없음
2	6	16	사랑을느낀다, 사랑을느낀다
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	소박하다, 흥겹다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	101	없음
3	9	29	개운하다
3	10	101	없음
4	1	31	어지럽다
4	2	101	없음
4	3	33	심술난다
4	4	101	없음
4	5	35	억울하다
4	6	101	없음
4	7	37	흐뭇하다
4	8	101	없음
4	9	39	안전하다
4	10	101	없음
5	1	101	없음
5	2	101	없음
5	3	43	당황스럽다
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	101	없음
5	8	48	생기있다
5	9	101	없음
5	10	50	고맙다
6	1	51	편안하다, 아리다
6	2	101	없음
6	3	101	없음
6	4	101	없음
6	5	55	시원하다, 마음이무겁다, 유쾌하다
6	6	56	생기있다, 선하다
6	7	101	없음
6	8	101	없음
6	9	59	자유롭다
6	10	60	평화롭다, 자유스럽다, 순수하다, 좋다, 안심된다
7	1	61	자유스럽다, 자유스럽다
7	2	101	없음
7	3	101	없음
7	4	64	마음이가볍다, 시원하다, 마음이가볍다
7	5	101	없음
7	6	66	신난다, 신난다
7	7	67	시원하다, 고맙다
7	8	101	없음
7	9	101	없음
7	10	70	자유롭다
8	1	71	반갑다
8	2	101	없음
8	3	73	시원하다
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	78	유쾌하다
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	85	밉다
9	6	86	생기있다
9	7	87	안심된다
9	8	101	없음
9	9	101	없음
9	10	90	든든하다
10	1	91	억울하다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	보기좋다, 관대하다, 만족스럽다, 관대하다, 보기좋다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
