tnum	tval	tname	tplateau
7	5	Java Enterprise Edition Version 7	Five_to_10_years
7	5	Ubiquitous Independent Carrier Network	More_than_10_years
11	8	Big Data Analytics for Customer Service	Five_to_10_years
11	8	"OSO Model: Integrated Physical, Digital and Solution Supply Chains"	More_than_10_years
14	13	Federated Help Desk for CSBs	Five_to_10_years
14	13	IT Manufacturers as CSBs	Five_to_10_years
16	18	Carbon Markets	More_than_10_years
16	18	IT Operations Analytics	Two_to_five_years
16	18	Traditional IT Services Providers as CSBs	Two_to_five_years
17	23	Big Data and ERP	Five_to_10_years
17	23	Finance and Accounting BPaaS	Five_to_10_years
17	23	Optical System Buses	Five_to_10_years
17	23	Quantum Computing	More_than_10_years
17	23	Real-Time Parking	Five_to_10_years
18	28	Case Management Solutions	Two_to_five_years
18	28	Core Banking BPO	Five_to_10_years
18	28	Molecular Transistors	More_than_10_years
18	28	Operational Technologies for Government	Two_to_five_years
19	33	Cloud-Enabled Integration Platforms (CEIPs)	Five_to_10_years
19	33	Collaborative Decision Making	Five_to_10_years
19	33	IT Service Support Management Tools	More_than_10_years
19	33	Intelligent Transportation System	Five_to_10_years
19	33	Intelligent Transportation Systems	Five_to_10_years
19	33	Reference Data Management Solutions	Obsolete_before_Plateau
20	38	Big Data for Healthcare and Life Science Research	Five_to_10_years
20	38	Cloud UXP Services	Five_to_10_years
20	38	Customer-Centric Web Strategies	Two_to_five_years
20	38	OSS/BSS Customer Experience Management	Five_to_10_years
21	43	Affective Computing	Five_to_10_years
21	43	Community Cloud	Two_to_five_years
21	43	Cooling Management Techniques	Five_to_10_years
21	43	EA Consultancies	Five_to_10_years
21	43	Enterprise-Class Agile Development	More_than_10_years
21	43	Financial Services Industry Architecture Frameworks	More_than_10_years
21	43	Grid Computing	Five_to_10_years
21	43	Home Energy Management/Consumer Energy Management	Five_to_10_years
21	43	IP Money	Five_to_10_years
21	43	In-Memory DBMS for OLTP	Five_to_10_years
21	43	Insurance Data Models	Five_to_10_years
21	43	MDM and Social Data	Five_to_10_years
21	43	Sustainability Consulting Services	Five_to_10_years
22	48	Business Process Utilities for Healthcare Payers	Five_to_10_years
22	48	Case Management Frameworks	Five_to_10_years
22	48	Cloud-Based Multienterprise Processes	Five_to_10_years
22	48	Memristor Memory	Five_to_10_years
22	48	Model-/Policy-Based Software Architecture Design Tools	Five_to_10_years
22	48	OAuth	Five_to_10_years
22	48	Polymer Memory	More_than_10_years
22	48	Segmented Supply Chain Response	Five_to_10_years
22	48	Social Network Analysis for BPM	Five_to_10_years
22	48	Telecom Operations Management Systems (TOMS) as a Service	Five_to_10_years
23	53	ALM PaaS	Five_to_10_years
23	53	Cloud-Driven Business and IT Services	Five_to_10_years
23	53	IT Disaster Recovery Management Testing	Five_to_10_years
23	53	MDM Applets	Five_to_10_years
23	53	Parallel Network File System	More_than_10_years
23	53	Server Software Appliance	Two_to_five_years
23	53	User Experience Platforms	Five_to_10_years
24	58	Cloud Transaction Processing	Five_to_10_years
24	58	Comprehensive Performance Management Suites	Five_to_10_years
24	58	Entity Resolution and Analysis	More_than_10_years
24	58	High-Performance Message Infrastructure	Five_to_10_years
24	58	Instruction Set Virtualization	Five_to_10_years
24	58	Integrated Marketing Management	Five_to_10_years
24	58	MDM of HR Data Solutions	Obsolete_before_Plateau
24	58	Multihypervisor Virtualization Management	Two_to_five_years
24	58	Multivector MDM Solutions	More_than_10_years
24	58	OpenFlow	Five_to_10_years
24	58	Private Platform as a Service	Two_to_five_years
24	58	Servers Using Flash Memory as Additional Memory Type	Five_to_10_years
25	63	BPA for the Masses	Two_to_five_years
25	63	Cloud Managed File Transfer Services	Two_to_five_years
25	63	Integrated UPS	Five_to_10_years
25	63	Sustainability Business Operations Consulting Services	More_than_10_years
26	68	Cloudbursting	Two_to_five_years
26	68	Server Power Capping	Five_to_10_years
26	68	User-Owned Device Services	Five_to_10_years
27	73	Application Service Governance	Two_to_five_years
27	73	Behavioral or Gestural Analytics	Five_to_10_years
27	73	Cloud Services Brokerage	Five_to_10_years
27	73	Enterprisewide Carbon and Energy Management Software Applications	Five_to_10_years
27	73	Heterogeneous Architectures	Five_to_10_years
27	73	Hybrid Unified Communications and Collaboration	Five_to_10_years
27	73	IaaS + Middleware	Two_to_five_years
27	73	Mood Recognition	Five_to_10_years
27	73	Presence Federation	Five_to_10_years
27	73	Service-Level Standards	More_than_10_years
27	73	Smart City Framework China	Five_to_10_years
27	73	Smart Governance Operating Framework	Two_to_five_years
28	78	BPaaS	Five_to_10_years
28	78	BPaaS for Government	Five_to_10_years
28	78	Cloud-Enabled Application Platforms (CEAPs)	Five_to_10_years
28	78	Context Delivery Architecture	Five_to_10_years
28	78	Customer Management BPaaS	Five_to_10_years
28	78	Data Services	Five_to_10_years
28	78	Search-Based Data Discovery Tools	Five_to_10_years
28	78	Simultaneous Co-Editing Tools	Five_to_10_years
28	78	Virtual Machine Resilience	Two_to_five_years
28	78	Web Content Product Recommendation Engine	Two_to_five_years
29	83	Big Data	Two_to_five_years
29	83	Business Process Governance	Five_to_10_years
29	83	Campaign Management SaaS	Five_to_10_years
29	83	Employee Use of Social Media in Government	Two_to_five_years
29	83	Expertise Location and Management	Two_to_five_years
29	83	Intelligent Business Operations	Two_to_five_years
29	83	Intelligent Business Process Management Suite	Two_to_five_years
29	83	Interactive Application Security Testing	Five_to_10_years
29	83	Mobile Application Security Testing	Two_to_five_years
29	83	Natural-Language Question Answering	Five_to_10_years
29	83	Online Channel Optimization	Five_to_10_years
29	83	Source-to-Pay BPO	Five_to_10_years
29	83	Speech-to-Speech Translation	Five_to_10_years
29	83	Track and Trace	Five_to_10_years
30	88	Business Process Optimization and Simulation	Two_to_five_years
30	88	Data Center Bridging in India	Obsolete_before_Plateau
30	88	E-Commerce in India	Five_to_10_years
30	88	Facilities Energy Management	Two_to_five_years
30	88	Gaze Control	Five_to_10_years
30	88	MDM of Supplier Data Solutions	Obsolete_before_Plateau
30	88	MRO PLM Functionality	Five_to_10_years
30	88	Model-Driven Packaged Applications	Five_to_10_years
30	88	Multichannel Master Content Management for Retail	Five_to_10_years
30	88	Order-to-Cash BPO	Five_to_10_years
30	88	Social Content	Two_to_five_years
30	88	Social Media Metrics	Two_to_five_years
32	93	Big Data	Two_to_five_years
32	93	Big Data Information Management for Government	Two_to_five_years
32	93	Big Data in Energy and Utilities	Five_to_10_years
32	93	Clinical Kiosks	More_than_10_years
32	93	Cloud Management Platforms	Two_to_five_years
32	93	Content Analytics	Five_to_10_years
32	93	Convergent Communications Advertising Platforms (CCAPs)	Five_to_10_years
32	93	Data Center Storage Encryption	Five_to_10_years
32	93	Enterprise Metadata Management	More_than_10_years
32	93	Finance and Accounting BPO	Five_to_10_years
32	93	Infrastructure as a Service	Five_to_10_years
32	93	Master Data Management	Five_to_10_years
32	93	Processor Emulation	Five_to_10_years
32	93	Real-Time Customer Offer Engines	Five_to_10_years
32	93	Social Network Analysis	Five_to_10_years
32	93	Social Software Standards	Five_to_10_years
32	93	Sustainability Business Operations Consulting Services	Two_to_five_years
35	98	Business Analytics	Five_to_10_years
35	98	Cloud-Based ECM	Two_to_five_years
35	98	Data Integration Tools and Data Quality Tools Convergence	Two_to_five_years
35	98	Hosted Virtual Desktop Services	Two_to_five_years
35	98	Hybrid Cloud Computing	Five_to_10_years
35	98	Indirect-Procurement BPO	Five_to_10_years
35	98	Model-Driven Security (DevOpsSec)	Five_to_10_years
35	98	Modular Self-Contained Aisle and Racking Systems	Two_to_five_years
35	98	Process Templates	Five_to_10_years
35	98	Real-Time Cybersecurity in Government	Two_to_five_years
35	98	Security Intelligence	Five_to_10_years
35	98	Water Management	Two_to_five_years
40	100	BPM-Enabled BPO	Two_to_five_years
40	100	Cloud Email	Two_to_five_years
40	100	Cloud Testing Tools and Service	Two_to_five_years
40	100	Cloud-Based Grid Computing	Less_than_two_years
40	100	Cloud-Based Recovery Services	Five_to_10_years
40	100	Complex-Event Processing	Five_to_10_years
40	100	IT Service Failover Automation for DR	Five_to_10_years
40	100	Mobile Devices in Bank Branches	Less_than_two_years
40	100	Nanotube Electronics	Five_to_10_years
40	100	Platform as a Service	Two_to_five_years
40	100	SaaS in China	Five_to_10_years
40	100	Sales Objective and Quota Management	Five_to_10_years
40	100	Service Governor	Five_to_10_years
40	100	Social Analytics	Two_to_five_years
45	98	Big Data Processing in Financial Services	Two_to_five_years
45	98	Closed-Loop Performance Management	Two_to_five_years
45	98	IT GRCM Tools	Five_to_10_years
45	98	Infrastructure Outsourcing Services: China	Obsolete_before_Plateau
45	98	Multichannel Loyalty	Two_to_five_years
45	98	Operations Intelligence	Two_to_five_years
45	98	Payment Frameworks	Two_to_five_years
45	98	Private Cloud Computing	Two_to_five_years
45	98	Requirements Elicitation and Simulation	Two_to_five_years
45	98	Semantic Web	More_than_10_years
45	98	Test Data Management	Two_to_five_years
48	95	Business Process Management for Utilities	Five_to_10_years
48	95	Cloud Collaboration Services	Five_to_10_years
48	95	Cloud-Based Grid Computing	Two_to_five_years
48	95	Cloud-Based Grid Computing	Two_to_five_years
48	95	Communications Outsourcing	Five_to_10_years
48	95	Data Center Bridging	Obsolete_before_Plateau
48	95	E-Commerce in China	Five_to_10_years
48	95	Elasticity	Two_to_five_years
48	95	Fabric-Based Infrastructure	Five_to_10_years
48	95	Fabric-Based Infrastructure	Five_to_10_years
48	95	Federated Application Life Cycle Management Suites	Five_to_10_years
48	95	Government Cloud	Two_to_five_years
48	95	MRM Analytics	Two_to_five_years
48	95	Mobile Claims Applications	Two_to_five_years
48	95	Open PaaS	Two_to_five_years
48	95	Private Cloud Computing	Two_to_five_years
48	95	SaaS-Related Professional Services	Two_to_five_years
48	95	VM Energy Management Tools	Two_to_five_years
49	93	Business Analytics	Two_to_five_years
49	93	Composite Content Applications	Two_to_five_years
49	93	Cross-Platform Structured Data Archiving	Five_to_10_years
49	93	Enterprisewide Carbon and Energy Management Software	Two_to_five_years
49	93	In-Memory Database Management Systems	Two_to_five_years
49	93	Life Insurance Closed-Book BPO	Two_to_five_years
49	93	Mobile BI	Two_to_five_years
49	93	Multidomain MDM Solutions	Five_to_10_years
49	93	Operational Technology Security	Five_to_10_years
49	93	Packaged Integration and Cloudstreams	Two_to_five_years
49	93	Redaction	Two_to_five_years
50	90	Activity Streams	Two_to_five_years
50	90	Application Security Professional Services	Five_to_10_years
50	90	DMZ Virtualization	Two_to_five_years
50	90	ERP Infrastructure Utility	Two_to_five_years
50	90	KPO	Five_to_10_years
50	90	Legal GRC	Two_to_five_years
50	90	Online Data Compression	Five_to_10_years
51	87	Continua 2011	Five_to_10_years
51	87	Cross-Agency Case Management	Five_to_10_years
51	87	Data Center Infrastructure Management Software	Two_to_five_years
51	87	EHR-Based Clinical Studies	Five_to_10_years
51	87	In-Memory-Enabled Application Infrastructure Products	Two_to_five_years
51	87	Virtual Machine Recovery	Two_to_five_years
52	83	Dock Scheduling	Two_to_five_years
52	83	Enterprise Mashups	Obsolete_before_Plateau
52	83	Enterprise Risk Management Applications	Two_to_five_years
52	83	Externalized Authorization Management	Two_to_five_years
52	83	MDM for Multichannel Commerce	Obsolete_before_Plateau
52	83	SOA Backplane	Two_to_five_years
53	79	Business Process Management Suites	Two_to_five_years
53	79	Complex-Event Processing Software Platforms in Financial Services	Five_to_10_years
53	79	"Data Encryption Technologies, HDDs and SSDs"	Two_to_five_years
53	79	Enterprise Endpoint Backup	Five_to_10_years
53	79	Entity Resolution and Analysis	Obsolete_before_Plateau
53	79	Eye Tracking Automotive	Five_to_10_years
53	79	In-Memory Data Grids	Two_to_five_years
53	79	Integrated and Open Building Automation and Control Systems	Five_to_10_years
53	79	OSGi for Application Infrastructure Middleware	Two_to_five_years
53	79	Quality of Storage Service	Two_to_five_years
53	79	Storage Multitenancy	Two_to_five_years
53	79	Telecom Analytics	Two_to_five_years
53	79	Virtualization Software Licensing	Five_to_10_years
54	73	Application Performance Monitoring	Five_to_10_years
54	73	Automatic Storage Tiering	Two_to_five_years
54	73	BPM for Government	Two_to_five_years
54	73	Cloud HPC/CaaS	Two_to_five_years
54	73	Financial Governance Applications	Less_than_two_years
54	73	Integrated Clinical/Financial BI Systems	Five_to_10_years
55	68	CRM in China	Two_to_five_years
55	68	Fibre Channel Over Ethernet	Two_to_five_years
55	68	Master Data Management	Five_to_10_years
55	68	System-on-Package	Five_to_10_years
