r	c	color	word
1	1	1	졸리다, 열망을느낀다, 불안하다, 가슴벅차다
1	2	2	즐겁다
1	3	101	없음
1	4	101	없음
1	5	5	가슴벅차다, 열망,애정을느낀다, 생기있다, 억울하다, 가슴벅차다
1	6	101	없음
1	7	101	없음
1	8	8	뛸듯하다
1	9	9	생소하다
1	10	10	애정이깊다, 신난다, 애정이깊다, 보기좋다
2	1	11	자신있다
2	2	12	가슴벅차다, 쑥스럽다
2	3	101	없음
2	4	14	훈훈하다
2	5	15	유쾌하다
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	19	싱기있다
2	10	20	희망차다, 안전하다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	27	당혹스럽다
3	8	101	없음
3	9	101	없음
3	10	30	편안하다, 편안하다, 신난다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	예쁘다
4	5	101	없음
4	6	101	없음
4	7	37	좋다
4	8	38	유쾌하다
4	9	101	없음
4	10	40	자유스럽다
5	1	41	확신감이든다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	46	즐겁다
5	7	101	없음
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	51	생기있다
6	2	101	없음
6	3	53	멋지다, 시원하다, 자신있다
6	4	54	개운하다, 시원하다, 쌀쌀하다, 개운하다
6	5	55	쾌활하다, 의기양양하다, 처량하다
6	6	101	없음
6	7	101	없음
6	8	101	없음
6	9	101	없음
6	10	60	순수하다, 자유롭다, 소박하다, 시원하다
7	1	101	없음
7	2	101	없음
7	3	63	막막하다
7	4	64	시원하다
7	5	101	없음
7	6	101	없음
7	7	67	상큼하다
7	8	68	행복하다, 고맙다, 행복하다
7	9	101	없음
7	10	70	놀랍다
8	1	71	안쓰럽다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	86	편안하다
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	떫다
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	101	없음
10	7	97	평화롭다
10	8	101	없음
10	9	101	없음
10	10	101	없음
