r	c	color	word
1	1	1	짜증난다
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	101	없음
1	6	101	없음
1	7	101	없음
1	8	8	다정하다
1	9	9	순수하다, 즐겁다
1	10	10	자신감을느낀다, 감미롭다, 평화롭다, 시원하다, 평화롭다, 활기차다
2	1	101	없음
2	2	101	없음
2	3	13	생기있다
2	4	101	없음
2	5	101	없음
2	6	16	어이없다
2	7	101	없음
2	8	101	없음
2	9	19	우습다, 좋다
2	10	20	좋다, 생기있다, 멋쩍다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	27	쾌활하다
3	8	28	선하다
3	9	29	평온하다, 쾌활하다
3	10	30	편안하다, 안전하다
4	1	101	없음
4	2	32	유쾌하다
4	3	101	없음
4	4	101	없음
4	5	35	안전하다
4	6	101	없음
4	7	37	긴장을느낀다
4	8	101	없음
4	9	101	없음
4	10	40	따뜻하다
5	1	101	없음
5	2	101	없음
5	3	43	안심된다
5	4	101	없음
5	5	101	없음
5	6	46	온화하다
5	7	47	편안하다, 상큼하다
5	8	101	없음
5	9	101	없음
5	10	101	없음
6	1	101	없음
6	2	52	멋있다
6	3	53	든든하다
6	4	54	확신감이든다, 안전하다, 편안하다, 마음이가볍다
6	5	55	평온하다, 안전하다, 활기차다, 자신있다
6	6	56	산뜻하다
6	7	57	상큼하다
6	8	58	관대하다, 평화롭다, 성에안찬다, 상큼하다
6	9	101	없음
6	10	60	안전하다
7	1	61	생소하다
7	2	101	없음
7	3	63	개운하다
7	4	64	멋지다, 쾌활하다, 자신있다, 시원하다
7	5	65	활기차다, 선하다
7	6	66	편안하다
7	7	101	없음
7	8	68	보기좋다
7	9	69	보기좋다
7	10	70	마음이넓다
8	1	101	없음
8	2	101	없음
8	3	101	없음
8	4	74	멋지다, 마음이가볍다
8	5	101	없음
8	6	76	마음이가볍다
8	7	101	없음
8	8	101	없음
8	9	101	없음
8	10	101	없음
9	1	101	없음
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	86	활기차다
9	7	87	편안하다
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	91	찜찜하다
10	2	92	시원하다, 평온하다
10	3	93	평화롭다
10	4	94	가엾다
10	5	101	없음
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
