tnum	tval	tname	tplateau
14	13	5G	Five_to_10_years
18	28	Personal Cloud Entertainment Platforms	Five_to_10_years
19	33	3D TV Services	Obsolete_before_Plateau
22	48	Tangible User Interfaces	More_than_10_years
23	53	Embedded Hypervisor	Five_to_10_years
24	58	Memristor Memory	Five_to_10_years
26	68	Social TV	Five_to_10_years
27	73	4K x 2K TV Displays	Two_to_five_years
30	88	Consumer Smart Appliances	Five_to_10_years
30	88	OLED Lighting	Five_to_10_years
32	93	Car Connectivity Consortium	Five_to_10_years
35	98	Low-Cost Development Boards	Two_to_five_years
40	100	Mobile Devices and Applications in Bank Branches	Two_to_five_years
40	100	Mobile Sports and Fitness	Two_to_five_years
40	100	Smart Appliances	Five_to_10_years
45	98	LTE-A	Two_to_five_years
48	95	Interoperable Storage Encryption	Five_to_10_years
49	93	Solar-Powered Mobile Devices	Five_to_10_years
49	93	Ultrabooks	Two_to_five_years
50	90	Solar Power Mobile Devices	Five_to_10_years
51	87	Continua 2012	Five_to_10_years
53	79	Broadband-Connected Televisions	Five_to_10_years
53	79	Small Cells	Two_to_five_years
54	73	Tablets in Government	Two_to_five_years
55	68	"Data Encryption Technologies, HDDs and SSDs"	Less_than_two_years
56	62	Over-the-Top Set-Top Boxes	Two_to_five_years
58	51	NFC	Two_to_five_years
73	20	3D LCDs	Two_to_five_years
83	13	802.22	Five_to_10_years
83	13	Floating Body DRAM	Obsolete_before_Plateau
83	13	Home Health Monitoring	Five_to_10_years
83	13	White Spaces: Super Wi-Fi	Two_to_five_years
88	14	TD-LTE	Five_to_10_years
93	16	Chromebooks	Five_to_10_years
93	16	System Prototyping	Five_to_10_years
97	18	Resistance Phase-Change Memory	Less_than_two_years
107	24	Wireless Video ? 2.4/5GHz	Less_than_two_years
119	32	Connected Portable Media Players	Less_than_two_years
123	35	Multitouch Displays	Less_than_two_years
132	42	Femtocells	Less_than_two_years
132	42	Long Term Evolution	Two_to_five_years
132	42	Mobile Devices in Dealerships	Two_to_five_years
132	42	Open-Source Communications	Less_than_two_years
136	45	AMOLED	Two_to_five_years
136	45	Magnetometer	Less_than_two_years
136	45	Tablets	Two_to_five_years
139	47	Through-Silicon Vias	Less_than_two_years
156	55	High-Performance Multicore Application Processors	Less_than_two_years
161	56	Premium Phones ? Open OS	Less_than_two_years
172	58	HSPA+	Less_than_two_years
179	59	Mobile Handheld Devices for Utilities	Two_to_five_years
187	60	Mobile Search	Less_than_two_years
