r	c	color	word
1	1	101	없음
1	2	101	없음
1	3	101	없음
1	4	101	없음
1	5	5	온화하다, 선하다
1	6	101	없음
1	7	7	시원하다, 평화롭다
1	8	101	없음
1	9	101	없음
1	10	10	신난다, 명랑하다, 개운하다, 행복하다
2	1	101	없음
2	2	12	한심하다
2	3	101	없음
2	4	101	없음
2	5	15	가슴벅차다, 기쁘다
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	희망차다, 귀찮다
3	1	101	없음
3	2	101	없음
3	3	101	없음
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	27	생기있다
3	8	101	없음
3	9	101	없음
3	10	30	평온하다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	101	없음
4	5	35	보기좋다, 뿌듯하다
4	6	36	평온하다
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	40	온화하다
5	1	101	없음
5	2	101	없음
5	3	43	불안하다
5	4	101	없음
5	5	45	살맛난다
5	6	46	자신있다
5	7	47	편안하다, 의기양양하다
5	8	48	온화하다
5	9	49	좋다
5	10	50	만족스럽다, 어지럽다, 기분이묘하다
6	1	101	없음
6	2	101	없음
6	3	53	의기양양하다
6	4	54	자유스럽다, 관대하다, 시원하다, 자유스럽다, 편안하다, 평온하다
6	5	55	쾌활하다, 마음이넓다, 안심된다, 희망차다, 시원하다, 희망차다
6	6	56	당당하다, 든든하다
6	7	57	안전하다, 흥분된다, 활기차다
6	8	58	평화롭다, 멋쩍다, 확신감이든다
6	9	59	소박하다
6	10	60	자유스럽다, 든든하다
7	1	61	골치아프다
7	2	101	없음
7	3	101	없음
7	4	101	없음
7	5	101	없음
7	6	66	안전하다
7	7	101	없음
7	8	68	생기있다
7	9	101	없음
7	10	70	생기있다, 안전하다
8	1	71	귀찮다
8	2	101	없음
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	101	없음
8	9	79	안전하다
8	10	101	없음
9	1	81	지겹다
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	85	대단하다
9	6	101	없음
9	7	87	마음이넓다
9	8	88	기쁘다
9	9	89	짜릿하다
9	10	101	없음
10	1	91	가슴이답답하다
10	2	92	평온하다
10	3	101	없음
10	4	101	없음
10	5	95	먹먹하다, 아리송하다
10	6	101	없음
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	100	평화롭다
