r	c	color	word
1	1	1	화난다, 골치아프다
1	2	101	없음
1	3	3	뛸듯하다, 흥분된다
1	4	101	없음
1	5	101	없음
1	6	6	의기양양하다
1	7	101	없음
1	8	101	없음
1	9	101	없음
1	10	10	흥겹다, 밉다, 어이없다, 생기있다, 명랑하다
2	1	11	기쁘다
2	2	101	없음
2	3	101	없음
2	4	101	없음
2	5	101	없음
2	6	101	없음
2	7	101	없음
2	8	101	없음
2	9	101	없음
2	10	20	자유스럽다
3	1	21	성질난다
3	2	22	예쁘다
3	3	23	예쁘다
3	4	101	없음
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	28	신경질난다
3	9	101	없음
3	10	30	혼란스럽다
4	1	101	없음
4	2	101	없음
4	3	101	없음
4	4	34	괴롭다
4	5	101	없음
4	6	101	없음
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	골치아프다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	101	없음
5	7	101	없음
5	8	101	없음
5	9	49	착잡하다
5	10	50	막막하다
6	1	51	편안하다
6	2	52	착잡하다
6	3	101	없음
6	4	54	만족스럽다, 캄캄하다, 편안하다, 뿌듯하다
6	5	55	안심된다, 착잡하다, 뿌듯하다, 쾌활하다
6	6	56	평화롭다
6	7	101	없음
6	8	101	없음
6	9	101	없음
6	10	60	안전하다
7	1	61	가엾다, 싫다
7	2	62	초조하다, 대단하다
7	3	101	없음
7	4	64	시원하다
7	5	101	없음
7	6	66	개운하다
7	7	101	없음
7	8	101	없음
7	9	69	떫다
7	10	70	온화하다
8	1	71	절망스럽다
8	2	72	서럽다
8	3	101	없음
8	4	101	없음
8	5	101	없음
8	6	101	없음
8	7	101	없음
8	8	78	행복하다
8	9	101	없음
8	10	101	없음
9	1	81	가슴이저리다, 울적하다, 긴장하다
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	86	멋지다, 평온하다
9	7	101	없음
9	8	88	막막하다
9	9	101	없음
9	10	90	착잡하다, 유감스럽다
10	1	101	없음
10	2	92	처량하다
10	3	101	없음
10	4	101	없음
10	5	95	캄캄하다
10	6	96	자유스럽다, 당혹스럽다
10	7	101	없음
10	8	98	심술난다
10	9	99	끔찍하다, 뒤가켕기다
10	10	100	속상하다
