r	c	color	word
1	1	1	골치아프다
1	2	2	기쁘다
1	3	101	없음
1	4	4	마음이무겁다
1	5	5	기분이좋다, 따뜻하다, 멋쩍다
1	6	6	흡족하다, 든든하다
1	7	101	없음
1	8	101	없음
1	9	9	걱정스럽다
1	10	10	화창하다, 온화하다
2	1	101	없음
2	2	12	기쁘다
2	3	13	불안하다, 싫다
2	4	14	아름답다, 훈훈하다
2	5	15	멍해진다
2	6	16	한심하다
2	7	17	멍해진다
2	8	101	없음
2	9	19	기분이묘하다
2	10	101	없음
3	1	101	없음
3	2	101	없음
3	3	23	감사함을느낀다
3	4	24	생소하다
3	5	101	없음
3	6	101	없음
3	7	101	없음
3	8	28	미어지다, 상큼하다
3	9	101	없음
3	10	30	멋지다
4	1	101	없음
4	2	101	없음
4	3	33	감사함을느낀다
4	4	34	편안하다
4	5	35	날아갈듯하다
4	6	36	쾌활하다
4	7	101	없음
4	8	101	없음
4	9	101	없음
4	10	101	없음
5	1	41	아찔하다, 뭐가뭔지모르겠다
5	2	101	없음
5	3	101	없음
5	4	101	없음
5	5	101	없음
5	6	46	평화롭다, 살맛난다
5	7	47	부담스럽다, 처량하다
5	8	101	없음
5	9	101	없음
5	10	50	멍해진다
6	1	51	가슴이답답하다
6	2	52	당당하다, 공허하다
6	3	53	자유스럽다
6	4	54	자신감넘친다, 희망차다, 막막하다, 씩씩하다, 평화롭다, 편안하다
6	5	55	상큼하다, 만족스럽다
6	6	56	생기있다
6	7	57	편안하다, 유쾌하다, 기분좋다, 평화롭다
6	8	101	없음
6	9	59	쌀쌀하다, 안심된다
6	10	60	안좋다, 평화롭다, 생소하다
7	1	61	시원하다, 꼬였다
7	2	101	없음
7	3	63	자유롭다
7	4	64	씩씩하다
7	5	65	씩씩하다, 쾌활하다
7	6	66	안심된다
7	7	67	생기있다
7	8	68	선하다, 안전하다
7	9	101	없음
7	10	70	귀찮다, 아리송하다
8	1	101	없음
8	2	101	없음
8	3	73	불안하다
8	4	101	없음
8	5	101	없음
8	6	76	편안하다
8	7	101	없음
8	8	78	편안하다
8	9	101	없음
8	10	101	없음
9	1	81	개운하다
9	2	101	없음
9	3	101	없음
9	4	101	없음
9	5	101	없음
9	6	101	없음
9	7	101	없음
9	8	101	없음
9	9	101	없음
9	10	101	없음
10	1	101	없음
10	2	101	없음
10	3	101	없음
10	4	101	없음
10	5	101	없음
10	6	96	아련하다
10	7	101	없음
10	8	101	없음
10	9	101	없음
10	10	101	없음
