tnum	tval	tname	tplateau
7	5	Bio-Acoustic Sensing	More_than_10_years
14	13	Controller-Free Gesture-Driven Applications for ERP	Five_to_10_years
16	18	Cloud MOM Services	Two_to_five_years
16	18	Cloud-Driven Business and IT Services	Two_to_five_years
16	18	Collaborative Decision Making	Five_to_10_years
16	18	Enterprise-Class Agile Development	More_than_10_years
16	18	Trusted Viewing	More_than_10_years
16	18	Web-Based Office Productivity Suites	Five_to_10_years
17	23	Cloud UXP Services	Five_to_10_years
17	23	Cloud-Enabled Integration Platforms (CEIPs)	Five_to_10_years
17	23	Financial Services Industry Architecture Frameworks	More_than_10_years
17	23	Server SW Appliance	Five_to_10_years
18	28	Media-Embedded Merchandising	Five_to_10_years
19	33	Tera-architectures	More_than_10_years
19	33	User Experience Platforms	Five_to_10_years
20	38	Cloud Management Platforms	Two_to_five_years
20	38	Community Cloud	Five_to_10_years
20	38	OAuth	Five_to_10_years
20	38	Tangible User Interfaces	More_than_10_years
20	38	Transcoderless and Software-Based Videoconferencing Infrastructure	Two_to_five_years
21	43	Cloud Computing in PLM and Manufacturing	Five_to_10_years
21	43	Event-Driven BPM	Five_to_10_years
21	43	Smart Governance Operating Framework	Two_to_five_years
21	43	User-Centric ERP Suites	Five_to_10_years
22	48	Cloud Transaction Processing Style of Application Design	Five_to_10_years
22	48	Intelligent Business Operations	Five_to_10_years
22	48	Social Content	Five_to_10_years
22	48	Video Chat for Customer Support	Two_to_five_years
23	53	Citizen Data Vaults	More_than_10_years
23	53	Cloud Computing	Five_to_10_years
23	53	Cloud Services Brokerage	Five_to_10_years
23	53	Cloud-Enabled Application Platforms (CEAPs)	Two_to_five_years
23	53	Desktop Virtualization	Five_to_10_years
23	53	Payment Frameworks	Five_to_10_years
24	58	Agent Collaboration Tools	Five_to_10_years
24	58	Location-Aware Applications	Five_to_10_years
24	58	Servers Using Flash Memory for System Speedup	Two_to_five_years
26	68	Cloud Email for Staff and Faculty	Two_to_five_years
27	73	Cloud Application Development Services	Five_to_10_years
27	73	Ensemble Interactions	Five_to_10_years
27	73	Model-Driven Packaged Applications	Five_to_10_years
27	73	Presence Federation	Five_to_10_years
27	73	Simultaneous Collaborative Editing	Five_to_10_years
28	78	Data Center Storage Encryption	Five_to_10_years
28	78	Virtual Machine Resilience	Two_to_five_years
29	83	Cloud UC (UCaaS)	Two_to_five_years
29	83	Context-Enriched Services	Five_to_10_years
29	83	Customer Interaction Hub	Two_to_five_years
29	83	Home Energy Management/Consumer Energy Management	Five_to_10_years
29	83	In-Memory Data Grids	Two_to_five_years
29	83	Mobile Web Applications	Two_to_five_years
30	88	Complex-Event Processing	Five_to_10_years
30	88	Database Platform as a Service (dbPaaS)	Two_to_five_years
30	88	HTML5	Five_to_10_years
30	88	SOA Backplane	Two_to_five_years
